"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS48","4501624641",4,8835,883508,30,"04-EXPL-AST01","Abattage-façonnage de grumes","VERGONZA - battage-façonnage de grumes",19.5,"M3",773.18,2024-09-16,773.18,15077.01,373,"ABATTAGE"
"2022-2024","MS49","4501641317",8,8455,845507,30,"04-EXPL-AST01","Abattage-façonnage de grumes","25//AB BO FEU FD CITEAUX P135",12,"M3",510.565,2025-02-26,460,5520,379,"ABATTAGE"
"2022-2024","MS49","4501641317",8,8455,845507,30,"04-EXPL-AST01","Abattage-façonnage de grumes","25//AB BO FEU FD CITEAUX P135",12,"M3",510.565,2025-05-12,50.565,606.78,380,"ABATTAGE"
"2022-2024","MS49","4501641317",8,8455,845507,50,"04-EXPL-AST01","Abattage-façonnage de grumes","25//AB BO FEU FD CITEAUX P216",12,"M3",354.02,2025-03-19,260,3120,383,"ABATTAGE"
"2022-2024","MS49","4501641317",8,8455,845507,50,"04-EXPL-AST01","Abattage-façonnage de grumes","25//AB BO FEU FD CITEAUX P216",12,"M3",354.02,2025-05-12,94.02,1128.24,384,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2024-11-26,1500,15000,393,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-01-15,1300,13000,394,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-01-29,700,7000,395,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-02-25,1500,15000,396,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-03-14,500,5000,397,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-03-18,1500,15000,398,"ABATTAGE"
"2022-2024","MS50","4700264087",9,8681,868104,20,"04-EXPL-ABT00","Abattage, façonnage (gén)","Abattage, façonnage (gén)",10,"M3",7500,2025-06-13,500,5000,399,"ABATTAGE"
"2022-2024","MS50","4700275471",9,8681,868104,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","FD La Croix Scaille 8-9-11-12 ABA FAC",10,"M3",3000,2025-06-19,1000,10000,400,"ABATTAGE"
