ACCORD_CADRE;ID_CHANTIER;NUM_SAP;NUM_ETF;AGENCE;CENTRE_PROFIT;POSTE;ARTICLE;LIBELLE_ARTICLE;LIBELLE_POSTE;PU_COMMANDE;UNITE;QUANTITE_COMMANDE;DATE_RECEPTION;QUANTITE_RECEPTION;MONTANT_RECEPTION
2022-2024;MS41;4501649952;4;8345;834503;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;LARFEUIL P 2E-3B-3E;2650;U;4;2025-02-10;2;5300
2022-2024;MS41;4501649952;4;8345;834503;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;LARFEUIL P 2E-3B-3E;2650;U;4;2025-04-04;1;2650
2022-2024;MS44;4501605994;3;8770;877000;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;C_2024_JMO_01;2000;U;3;2024-05-02;1;2000
2022-2024;MS44;4501605994;3;8770;877000;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;C_2024_JMO_01;2000;U;3;2024-06-18;2;4000
2022-2024;MS45;4501634356;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD PLANOISE;1700;U;3;2024-11-08;2;3400
2022-2024;MS45;4501634356;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD PLANOISE;1700;U;3;2024-12-13;1;1700
2022-2024;MS46;4501671426;2;8735;873505;20;000000000001000385;$ Tvx Forest Exploit divers;Montage et démontage des lignes;3000;U;5;2025-05-27;1;3000
2022-2024;MS46;4501671426;2;8735;873505;20;000000000001000385;$ Tvx Forest Exploit divers;Montage et démontage des lignes;3000;U;10;2025-06-25;2;6000
2022-2024;MS46;4501671426;2;8735;873505;20;000000000001000385;$ Tvx Forest Exploit divers;Montage et démontage des lignes;3000;U;10;2025-08-28;2;6000
2022-2024;MS47;4501611906;3;8845;884505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GRAND ARC pcl 7 Montage/démontage câble;5000;U;3;2024-05-24;1;5000
2022-2024;MS47;4501611906;3;8845;884505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GRAND ARC pcl 7 Montage/démontage câble;5000;U;3;2024-07-30;1;5000
2022-2024;MS47;4501611906;3;8845;884505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GRAND ARC pcl 7 Montage/démontage câble;5000;U;3;2024-11-06;1;5000
2022-2024;MS48;4501624641;4;8835;883508;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;VERGONZA - Montage/démontage câble MS48;2500;U;3;2024-09-16;3;7500
2022-2024;MS49;4501641317;8;8455;845507;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;25//FORFAIT MONTAGE DEMONTAGE FD CITEAUX;1900;U;6;2025-02-26;1;1900
2022-2024;MS49;4501641317;8;8455;845507;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;25//FORFAIT MONTAGE DEMONTAGE FD CITEAUX;1900;U;6;2025-03-19;4;7600
2022-2024;MS49;4501641317;8;8455;845507;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;25//FORFAIT MONTAGE DEMONTAGE FD CITEAUX;1900;U;6;2025-05-12;1;1900
2022-2024;MS51;4501625678;8;8440;844009;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Montage/démonte câble FDLEVIER1J;1900;U;4;2024-09-30;4;7600
2022-2024;MS52;4501634199;4;8805;880511;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;24-127 SEILLON-Montage-démontage lignes;7650;U;1;2025-02-20;1;7650
2022-2024;MS55;4501637680;3;8535;853501;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;ODS2025/FON1 - CAB MAT - EU - P.3/4/7/10;3150;U;6;2025-02-12;3;9450
2022-2024;MS55;4501637680;3;8535;853501;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;ODS2025/FON1 - CAB MAT - EU - P.3/4/7/10;3150;U;6;2025-04-09;2;6300
