ID_CHANTIER,ACCORD_CADRE,NUM_ETF,TYPE_OP,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,JOURS_TRAVAILLES_AVEC_MONTAGE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
MS34,2022-2024,NA,NA,NA,NA,NA,NA,26.142857142857142,57.37704918032787,inter_chantier,32.142857142857146,1500,Montagne,NA,NA,NA,NA,NA
MS35,2022-2024,NA,NA,NA,NA,NA,NA,65.14285714285714,32.23684210526316,inter_chantier,87.14285714285714,2100,Plaine,NA,NA,NA,NA,NA
MS37_lot1,2022-2024,NA,NA,NA,NA,NA,NA,31.42857142857143,84.25454545454545,inter_chantier,41.42857142857143,2648,Plaine,NA,NA,NA,NA,NA
MS37_lot2,2022-2024,NA,NA,NA,NA,NA,NA,37.42857142857143,70.74809160305342,inter_chantier,41.42857142857143,2648,Montagne,NA,NA,NA,NA,NA
MS38,2022-2024,NA,NA,NA,NA,NA,NA,20.142857142857142,49.43931205673759,inter_chantier,32.142857142857146,995.849,Plaine,NA,NA,NA,NA,NA
MS41,2022-2024,NA,NA,NA,NA,NA,NA,49.142857142857146,35.28488372093023,inter_chantier,57.142857142857146,1734,Montagne,NA,NA,NA,NA,NA
MS45,2022-2024,NA,NA,NA,NA,NA,NA,37.57142857142857,41.28136882129278,inter_chantier,43.57142857142857,1551,Plaine,NA,NA,NA,NA,NA
MS46,2022-2024,NA,NA,NA,NA,NA,NA,57.14285714285714,25.6655,inter_chantier,67.14285714285714,1466.6,Montagne,NA,NA,NA,NA,NA
MS47,2022-2024,NA,NA,NA,NA,NA,NA,8.285714285714286,219.121724137931,inter_chantier,14.285714285714286,1815.58,Montagne,NA,NA,NA,NA,NA
MS49,2022-2024,NA,NA,NA,NA,NA,NA,42.285714285714285,20.44626689189189,inter_chantier,54.285714285714285,864.585,Plaine,NA,NA,NA,NA,NA
MS51,2022-2024,NA,NA,NA,NA,NA,NA,3.428571428571429,254.10787499999998,inter_chantier,11.428571428571429,871.227,Montagne,NA,NA,NA,NA,NA
MS52,2022-2024,NA,NA,NA,NA,NA,NA,15.285714285714285,44.74635514018692,inter_chantier,19.285714285714285,683.98,Plaine,NA,NA,NA,NA,NA
MS55,2022-2024,NA,NA,NA,NA,NA,NA,103.71428571428572,14.77289256198347,inter_chantier,115.71428571428572,1532.16,Plaine,NA,NA,NA,NA,NA
MS57,2022-2024,NA,NA,NA,NA,NA,NA,36.142857142857146,42.69169960474308,inter_chantier,62.142857142857146,1543,Plaine,NA,NA,NA,NA,NA
MS60,2022-2024,NA,NA,NA,NA,NA,NA,45,43.55555555555556,inter_chantier,65,1960,Plaine,NA,NA,NA,NA,NA
MS61,2022-2024,NA,NA,NA,NA,NA,NA,105.14285714285714,28.570652173913043,inter_chantier,127.14285714285714,3004,Plaine,NA,NA,NA,NA,NA
MS2,2025,NA,NA,NA,NA,NA,NA,11.714285714285714,75.57976829268294,inter_chantier,15.714285714285714,885.363,Montagne,NA,NA,NA,NA,NA
MS7,2025,NA,NA,NA,NA,NA,NA,105.42857142857144,32.11036585365853,inter_chantier,111.42857142857144,3385.35,Plaine,NA,NA,NA,NA,NA
MS11,2025,NA,NA,NA,NA,NA,NA,31,42.903225806451616,inter_chantier,45,1330,Montagne,NA,NA,NA,NA,NA
MS15_lot1,2025,NA,NA,NA,NA,NA,NA,52.714285714285715,40.03943089430894,inter_chantier,60.714285714285715,2110.65,Montagne,NA,NA,NA,NA,NA
MS15_lot2,2025,NA,NA,NA,NA,NA,NA,40.714285714285715,51.840526315789475,inter_chantier,60.714285714285715,2110.65,Montagne,NA,NA,NA,NA,NA
MS17,2025,NA,NA,NA,NA,NA,NA,33.857142857142854,13.29113924050633,inter_chantier,57.857142857142854,450,Plaine,NA,NA,NA,NA,NA
MS18,2025,NA,NA,NA,NA,NA,NA,11.142857142857142,77.55883333333334,inter_chantier,17.142857142857142,864.227,Montagne,NA,NA,NA,NA,NA
MS20,2025,NA,NA,NA,NA,NA,NA,28,25.04642857142857,inter_chantier,40,701.3,Montagne,NA,NA,NA,NA,NA
MS42,2025,NA,NA,NA,NA,NA,NA,46.857142857142854,19.01970426829268,inter_chantier,52.857142857142854,891.209,Plaine,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,329,235,23.676042553191493,annuelle_etf,NA,NA,NA,2023,5563.870000000001,4,2023-01-19,2023-12-13
NA,NA,1,NA,NA,NA,NA,297,212.14285714285714,14.9756632996633,annuelle_etf,NA,NA,NA,2024,3176.98,5,2024-02-21,2024-12-13
NA,NA,2,NA,NA,NA,NA,338,241.42857142857144,12.608284023668638,annuelle_etf,NA,NA,NA,2024,3044,3,2024-01-03,2024-12-05
NA,NA,2,NA,NA,NA,NA,219,156.42857142857144,14.8924200913242,annuelle_etf,NA,NA,NA,2025,2329.6,2,2025-01-22,2025-08-28
NA,NA,3,NA,NA,NA,NA,269,192.14285714285714,16.752223048327135,annuelle_etf,NA,NA,NA,2023,3218.8199999999997,3,2023-04-06,2023-12-30
NA,NA,3,NA,NA,NA,NA,330,235.71428571428572,7.658844242424242,annuelle_etf,NA,NA,NA,2024,1805.299,4,2024-01-22,2024-12-16
NA,NA,4,NA,NA,NA,NA,298,212.85714285714286,14.090389261744965,annuelle_etf,NA,NA,NA,2024,2999.24,3,2024-02-13,2024-12-06
NA,NA,4,NA,NA,NA,NA,324,231.42857142857144,9.567962962962962,annuelle_etf,NA,NA,NA,2025,2214.3,5,2025-01-22,2025-12-11
NA,NA,8,NA,NA,NA,NA,323,230.71428571428572,14.519222291021672,annuelle_etf,NA,NA,NA,2025,3349.792,6,2025-02-03,2025-12-22
