ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3,VOL_REF,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL,COUT_VARIABLES_M3,COUT_VARIABLES_TOT,COUT_FIXES_M3,COUT_FIXES_TOT,TARIF_PRESTA_M3,TARIF_PRESTA_SANS_ABA_M3,TARIF_PRESTA_SANS_TRANSFERT_M3,TARIF_PRESTA_SANS_ABA_TRANSFERT_M3
MS19_lot2,2022-2024,1491.37,13.000000000000002,1491.37,14.000000000000002,NA,NA,1491.37,4.492513594882558,6700,1.5086799385799634,2250,27.000000000000004,40266.990000000005,6.001193533462521,8950,33.001193533462526,20.001193533462523,31.49251359488256,18.49251359488256
MS2,2025,885.363,13.399995256183058,885.363,20,NA,NA,885.363,6.776881346972936,6000,2.236370844501069,1980,33.39999525618306,29571.120000000006,9.013252191474006,7980,42.41324744765707,29.013252191474006,40.176876603155996,26.776881346972935
MS20,2022-2024,944,5.5,944,22.8,NA,NA,944,4.4491525423728815,4200,1.271186440677966,1200,28.3,26715.2,5.720338983050848,5400,34.02033898305085,28.52033898305085,32.74915254237288,27.249152542372883
MS20,2025,NA,NA,NA,NA,701.3,24.000000000000004,701.3,14.11664052473977,9900,2.1388849279908744,1500,24.000000000000004,16831.2,16.255525452730645,11400,40.25552545273065,NA,38.11664052473977,NA
MS21,2022-2024,1453,13,1453,13.8,NA,NA,1453,12.381280110116998,17990,0.8258774948382657,1200,26.8,38940.4,13.207157604955263,19190,40.00715760495527,27.007157604955264,39.181280110117,26.181280110117
MS22,2022-2024,900,15,900,20,NA,NA,900,13.88888888888889,12500,6.111111111111111,5500,35,31500,20,18000,55,40,48.888888888888886,33.888888888888886
MS23,2022-2024,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.960159362549803
MS24_lot1,2022-2024,962,13,962,25,NA,NA,962,4.158004158004158,4000,NA,NA,38,36556,NA,NA,NA,NA,42.15800415800416,29.158004158004157
MS24_lot2,2022-2024,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.960159362549803
MS25,2025,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS27,2022-2024,1305.24,7.500007661426251,1305.24,22,NA,NA,1305.24,9.117097238821978,11900,NA,NA,29.500007661426253,38504.590000000004,NA,NA,NA,NA,38.61710490024823,31.117097238821977
MS29,2022-2024,859.45,10.999999999999998,859.45,14,NA,NA,859.45,5.235906684507533,4500,4.6541392751178075,4000,25,21486.25,9.89004595962534,8500,34.89004595962534,23.89004595962534,30.235906684507533,19.235906684507533
